gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
06:28,06:28:00,70,71,-1,1,4,REGULAR,77,J. SMITH,1,freethrow,625,,[],2of2,1,9,Jaleen Devon,Smith,Jaleen Devon,Smith,J,S,J,S,J. Smith,TÜRK TELEKOM,TTK,J. Smith,9,,,,,,FT,made,TÜRK TELEKOM J. SMITH FT 2of2 made,,,,,,,,,1,195,1.0,made_ft_last,1,70,0,71
06:03,06:03:00,70,71,-1,2,4,REGULAR,109,W. CUMMINGS,0,2pt,627,,['pointsinthepaint'],layup,1,7,William,Cummings,William,Cummings,W,C,W,C,W. Cummings,GALATASARAY MCT TECHNIC,GSM,W. Cummings,7,,,91.26000213623,47.740001678467,0.0,P2,missed,GALATASARAY MCT TECHNIC W. CUMMINGS 2Pt missed,,,,,,,,,0,196,2.0,def_reb,0,70,0,71
06:01,06:01:00,70,71,-1,1,4,REGULAR,80,M. DEVOE,1,rebound,628,627,[],defensive,0,0,Michael Jaden,Devoe,Michael Jaden,Devoe,M,D,M,D,M. Devoe,TÜRK TELEKOM,TTK,M. Devoe,0,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,197,1.0,def_reb,0,70,0,71
05:58,05:58:00,70,71,-1,1,4,REGULAR,75,K. ALLMAN,0,2pt,630,,"['pointsinthepaint', 'blocked']",jumpshot,1,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,8.7399997711182,59.319999694824,0.0,P2,missed,TÜRK TELEKOM K. ALLMAN 2Pt missed,,,,101.0,2.0,T. GÖRENER,,,0,198,2.0,,0,70,0,71
05:58,05:58:00,70,71,-1,2,4,REGULAR,101,T. GÖRENER,1,block,631,630,[],,0,5,Tibet Deniz,Görener,Tibet Deniz,Görener,T,G,T,G,T. Görener,GALATASARAY MCT TECHNIC,GSM,T. Görener,5,,,,,,BS,,GALATASARAY MCT TECHNIC T. GÖRENER block,,,,,,,,,0,198,2.0,,0,70,0,71
05:58,05:58:00,70,71,-1,1,4,REGULAR,0,,1,rebound,632,630,['team'],offensive,0,,,,,,,,,,,TÜRK TELEKOM,TTK,,,,,,,,TREB,,TÜRK TELEKOM team rebound offensive,,,,,,,,,0,198,2.0,def_reb,0,70,0,71
05:50,05:50:00,72,71,1,1,4,REGULAR,75,K. ALLMAN,1,2pt,634,,"['2ndchance', 'pointsinthepaint']",layup,1,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,5.1500000953674,55.930000305176,1.0,P2,made,TÜRK TELEKOM K. ALLMAN 2Pt made,,,,,,,,,2,199,1.0,score,2,72,0,71
05:49,05:49:00,72,71,1,2,4,REGULAR,0,,1,timeout,636,,[],full,0,,,,,,,,,,,GALATASARAY MCT TECHNIC,GSM,,,,,,,,TIMEOUT,,GALATASARAY MCT TECHNIC timeout,,,,,,,,,0,200,2.0,,0,72,0,71
05:49,05:49:00,72,71,1,0,4,REGULAR,0,,1,timeout,637,,[],officials,0,,,,,,,,,,,,,,,,,,,,TIMEOUT,, timeout,,,,,,,,,0,200,2.0,,0,72,0,71
05:49,05:49:00,72,71,1,2,4,REGULAR,101,T. GÖRENER,1,substitution,638,,[],out,0,5,Tibet Deniz,Görener,Tibet Deniz,Görener,T,G,T,G,T. Görener,GALATASARAY MCT TECHNIC,GSM,T. Görener,5,,,,,,SUB,out,GALATASARAY MCT TECHNIC substitution out,,,,,,,,,0,200,2.0,,0,72,0,71
