week,game_id,label,team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,67,D. Efianayi Jr,David Tinsley Eghosa,Efianayi Jr,4,1,,0,,,31:49,4,14,28,1,5,20,3,9,33,2,2,100,4,1,5,7,2,0,1,1,2,5,11,5,0,1,6,D. Efianayi Jr,2:67
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,68,Y. Franke,Yannick Ayrton,Franke,5,0,,1,,,28:07,6,15,40,4,10,40,2,5,40,7,7,100,1,2,3,2,1,1,0,1,4,6,23,4,2,6,2,Y. Franke,2:68
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,65,R. Blumbergs,Roberts,Blumbergs,6,0,,0,,,17:22,4,8,50,3,5,60,1,3,33,0,0,0,0,0,0,0,0,0,0,1,1,1,11,2,3,-7,2,R. Blumbergs,2:65
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,43,M. Kurtuldum,Mustafa,Kurtuldum,7,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M. Kurtuldum,2:43
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,70,U. Utomi,Uzodinma,Utomi,8,1,,1,,,12:05,2,4,50,2,3,66,0,1,0,1,2,50,3,0,3,1,0,0,0,0,3,1,7,0,1,6,0,U. Utomi,2:70
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,42,Y. Sonsirma,Yunus Emre,Sonsirma,9,0,1.0,1,,,18:27,0,4,0,0,4,0,0,0,0,2,2,100,1,1,2,2,0,0,0,0,2,1,2,0,0,-1,0,Y. Sonsirma,2:42
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,44,T. Sav,Troy Selim,Sav,15,1,,0,,,21:33,0,1,0,0,0,0,0,1,0,1,2,50,5,2,7,0,0,0,0,1,4,3,1,1,0,7,0,T. Sav,2:44
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,64,M. Sajus,Martynas,Sajus,19,0,,1,,,29:28,5,6,83,0,0,0,5,6,83,6,6,100,3,4,7,1,1,0,2,0,2,4,16,4,0,2,10,M. Sajus,2:64
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,66,J. Floyd,Jehyve Jamal,Floyd,20,1,,0,,,10:32,1,2,50,0,0,0,1,2,50,0,0,0,3,2,5,0,3,0,0,1,5,1,2,0,2,2,2,J. Floyd,2:66
week06,2715613,ONVO BÜYÜKÇEKMECE BASKETBOL vs ALİAĞA PETKİM SPOR,2,ALİAĞA PETKİM SPOR,PTK,98,P. Scrubb,Philip Alexander,Scrubb,23,1,,1,,,30:37,5,11,45,3,6,50,2,5,40,3,6,50,4,0,4,3,2,0,0,2,1,4,16,0,1,4,2,P. Scrubb,2:98
