possession_id,period,start_action,end_action,start_clock,end_clock,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
106,2,354,354,02:43:00,02:43:00,1.0,score,2,2,TOFAS,0
107,2,355,356,02:43:00,02:28:00,2.0,score,2,2,FENERBAHÇE BEKO,0
108,2,357,358,02:28:00,02:13:00,1.0,score,2,2,TOFAS,0
109,2,359,359,01:54:00,01:54:00,2.0,score,2,2,FENERBAHÇE BEKO,0
110,2,360,361,01:54:00,01:30:00,1.0,score,2,2,TOFAS,0
111,2,362,362,01:16:00,01:16:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
112,2,363,364,01:16:00,01:10:00,1.0,score,2,2,TOFAS,0
113,2,366,378,01:10:00,00:48:10,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
114,2,379,379,00:48:10,00:48:10,1.0,def_reb,0,0,TOFAS,0
115,2,380,380,00:48:10,00:48:10,2.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
116,2,381,384,00:48:10,00:24:30,1.0,def_reb,0,0,TOFAS,0
117,2,385,385,00:20:00,00:20:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
118,2,387,387,00:05:00,00:05:00,1.0,score,2,0,TOFAS,2
119,2,388,403,00:05:00,09:38:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
120,3,405,405,09:37:00,09:37:00,1.0,def_reb,0,0,TOFAS,0
121,3,407,407,09:18:00,09:18:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
122,3,408,408,09:15:00,09:15:00,1.0,def_reb,0,0,TOFAS,0
123,3,411,411,08:53:00,08:53:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
124,3,413,413,08:52:00,08:52:00,1.0,def_reb,0,0,TOFAS,0
125,3,415,415,08:35:00,08:35:00,2.0,score,2,2,FENERBAHÇE BEKO,0
126,3,417,424,08:26:00,08:12:00,1.0,def_reb,0,0,TOFAS,0
127,3,425,427,08:10:00,07:53:00,2.0,score,2,2,FENERBAHÇE BEKO,0
128,3,428,436,07:53:00,07:32:00,1.0,score,3,3,TOFAS,0
129,3,437,437,07:07:00,07:07:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
130,3,438,438,07:05:00,07:05:00,1.0,def_reb,0,0,TOFAS,0
131,3,439,439,06:48:00,06:48:00,2.0,score,3,0,FENERBAHÇE BEKO,3
132,3,440,449,06:48:00,06:20:00,1.0,def_reb,0,0,TOFAS,0
133,3,450,450,06:18:00,06:18:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
134,3,452,452,06:14:00,06:14:00,1.0,turnover,0,0,TOFAS,0
