start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
535.1,552.0,3,01:18:00,4,10:00:00,1,MERSİN SPOR,"[6, 9, 10, 53, 57]",6|9|10|53|57,Unknownx5,"['1:6', '1:9', '1:10', '1:53', '1:57']","['F. Cruz Saldivar', 'J. White', 'R. March Jr', 'K. Çekici', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 89, 91, 93, 95]",79|89|91|93|95,Unknownx5,"['2:79', '2:89', '2:91', '2:93', '2:95']","['T. Biberoviç', 'O. Bitim', 'K. Birch', 'B. Colson Ii', 'D. Hall']",3,0,0,0,0.0,0.0,4,0,0,0,0.0,0.0,57,65,57,65
552.1,556.0,4,10:00:00,4,10:00:00,1,MERSİN SPOR,"[5, 6, 10, 53, 56]",5|6|10|53|56,Unknownx5,"['1:5', '1:6', '1:10', '1:53', '1:56']","['J. Cobbs', 'F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[79, 89, 91, 93, 95]",79|89|91|93|95,Unknownx5,"['2:79', '2:89', '2:91', '2:93', '2:95']","['T. Biberoviç', 'O. Bitim', 'K. Birch', 'B. Colson Ii', 'D. Hall']",0,0,0,0,,,0,0,0,0,,,57,65,57,65
556.1,600.0,4,10:00:00,4,06:45:00,1,MERSİN SPOR,"[5, 6, 10, 53, 56]",5|6|10|53|56,Unknownx5,"['1:5', '1:6', '1:10', '1:53', '1:56']","['J. Cobbs', 'F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 79, 95, 98, 99]",76|79|95|98|99,Unknownx5,"['2:76', '2:79', '2:95', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",4,5,6,-1,125.0,120.0,5,6,5,1,120.0,125.0,57,65,61,72
600.1,602.0,4,06:45:00,4,06:45:00,1,MERSİN SPOR,"[4, 5, 9, 56, 57]",4|5|9|56|57,Unknownx5,"['1:4', '1:5', '1:9', '1:56', '1:57']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 79, 95, 98, 99]",76|79|95|98|99,Unknownx5,"['2:76', '2:79', '2:95', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,61,72,61,72
602.1,628.0,4,06:45:00,4,05:34:00,1,MERSİN SPOR,"[4, 5, 9, 56, 57]",4|5|9|56|57,Unknownx5,"['1:4', '1:5', '1:9', '1:56', '1:57']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 79, 94, 98, 99]",76|79|94|98|99,Unknownx5,"['2:76', '2:79', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",2,3,3,0,150.0,100.0,3,3,3,0,100.0,150.0,61,72,65,75
628.1,643.0,4,05:34:00,4,04:32:00,1,MERSİN SPOR,"[4, 5, 9, 56, 57]",4|5|9|56|57,Unknownx5,"['1:4', '1:5', '1:9', '1:56', '1:57']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 94, 95, 98, 99]",76|94|95|98|99,Unknownx5,"['2:76', '2:94', '2:95', '2:98', '2:99']","['M. Mahmutoglu', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,0.0,1,0,0,0,0.0,,65,75,68,75
643.1,667.0,4,04:32:00,4,02:48:00,1,MERSİN SPOR,"[4, 5, 9, 56, 57]",4|5|9|56|57,Unknownx5,"['1:4', '1:5', '1:9', '1:56', '1:57']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 94, 95, 98, 99]",79|94|95|98|99,Unknownx5,"['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",5,4,2,2,80.0,40.0,5,2,4,-2,40.0,80.0,68,75,71,79
667.1,720.0,4,02:48:00,4,00:23:70,1,MERSİN SPOR,"[5, 6, 53, 56, 57]",5|6|53|56|57,Unknownx5,"['1:5', '1:6', '1:53', '1:56', '1:57']","['J. Cobbs', 'F. Cruz Saldivar', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 94, 95, 98, 99]",79|94|95|98|99,Unknownx5,"['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",5,6,3,3,120.0,75.0,4,3,6,-3,75.0,120.0,71,79,78,84
720.1,735.0,4,00:23:70,4,00:14:90,1,MERSİN SPOR,"[4, 6, 9, 53, 57]",4|6|9|53|57,Unknownx5,"['1:4', '1:6', '1:9', '1:53', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'K. Çekici', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 94, 95, 98, 99]",79|94|95|98|99,Unknownx5,"['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",1,0,1,-1,0.0,100.0,1,1,0,1,100.0,0.0,78,84,78,85
735.1,748.0,4,00:14:90,4,00:00:00,1,MERSİN SPOR,"[4, 5, 6, 9, 57]",4|5|6|9|57,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Cowan']",2,FENERBAHÇE BEKO,"[79, 94, 95, 98, 99]",79|94|95|98|99,Unknownx5,"['2:79', '2:94', '2:95', '2:98', '2:99']","['T. Biberoviç', 'W. Baldwin Iv', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",1,2,0,2,200.0,0.0,2,0,2,-2,0.0,200.0,78,85,78,87
