gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
09:15,09:15:00,44,45,-1,2,3,REGULAR,99,A. BACOT JR,0,2pt,374,,"['2ndchance', 'blocked']",jumpshot,1,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,8.5799999237061,70.620002746582,0.0,P2,missed,FENERBAHÇE BEKO A. BACOT JR 2Pt missed,,,,4.0,1.0,E. TIRPANCI,,,0,106,1.0,,0,44,0,45
09:15,09:15:00,44,45,-1,1,3,REGULAR,4,E. TIRPANCI,1,block,375,374,[],,0,10,Efe Ergi,Tirpanci,Efe Ergi,Tirpanci,E,T,E,T,E. Tirpanci,MERSİN SPOR,MSK,E. Tirpanci,10,,,,,,BS,,MERSİN SPOR E. TIRPANCI block,,,,,,,,,0,106,1.0,,0,44,0,45
09:15,09:15:00,44,45,-1,1,3,REGULAR,0,,1,rebound,376,374,['team'],defensive,0,,,,,,,,,,,MERSİN SPOR,MSK,,,,,,,,TREB,,MERSİN SPOR team rebound defensive,,,,,,,,,0,106,1.0,def_reb,0,44,0,45
08:58,08:58:00,44,45,-1,1,3,REGULAR,6,F. CRUZ SALDIVAR,0,2pt,378,,[],jumpshot,1,9,Francisco Javier,Cruz Saldivar,Francisco Javier,Cruz Saldivar,F,C,F,C,F. Cruz Saldivar,MERSİN SPOR,MSK,F. Cruz Saldivar,9,,,76.129997253418,38.979999542236,0.0,P2,missed,MERSİN SPOR F. CRUZ SALDIVAR 2Pt missed,,,,,,,,,0,107,2.0,def_reb,0,44,0,45
08:56,08:56:00,44,45,-1,2,3,REGULAR,92,N. MELLI,1,rebound,379,378,[],defensive,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,REB,,FENERBAHÇE BEKO rebound defensive,,,,,,,,,0,108,1.0,def_reb,0,44,0,45
08:50,08:50:00,44,45,-1,2,3,REGULAR,76,M. MAHMUTOGLU,0,2pt,380,,[],jumpshot,1,10,Melih,Mahmutoglu,Melih,Mahmutoglu,M,M,M,M,M. Mahmutoglu,FENERBAHÇE BEKO,FBB,M. Mahmutoglu,10,,,13.729999542236,77.680000305176,0.0,P2,missed,FENERBAHÇE BEKO M. MAHMUTOGLU 2Pt missed,,,,,,,,,0,109,2.0,,0,44,0,45
08:48,08:48:00,44,45,-1,2,3,REGULAR,99,A. BACOT JR,1,rebound,381,380,[],offensive,0,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,,,,REB,,FENERBAHÇE BEKO rebound offensive,,,,,,,,,0,109,2.0,,0,44,0,45
08:37,08:37:00,44,45,-1,2,3,REGULAR,76,M. MAHMUTOGLU,0,3pt,382,,['2ndchance'],jumpshot,1,10,Melih,Mahmutoglu,Melih,Mahmutoglu,M,M,M,M,M. Mahmutoglu,FENERBAHÇE BEKO,FBB,M. Mahmutoglu,10,,,28.860000610352,83.050003051758,0.0,P3,missed,FENERBAHÇE BEKO M. MAHMUTOGLU 3Pt missed,,,,,,,,,0,109,2.0,def_reb,0,44,0,45
08:35,08:35:00,44,45,-1,1,3,REGULAR,5,J. COBBS,1,rebound,383,382,[],defensive,0,1,Justin,Cobbs,Justin,Cobbs,J,C,J,C,J. Cobbs,MERSİN SPOR,MSK,J. Cobbs,1,,,,,,REB,,MERSİN SPOR rebound defensive,,,,,,,,,0,110,1.0,def_reb,0,44,0,45
08:18,08:18:00,44,45,-1,1,3,REGULAR,6,F. CRUZ SALDIVAR,0,3pt,384,,[],jumpshot,1,9,Francisco Javier,Cruz Saldivar,Francisco Javier,Cruz Saldivar,F,C,F,C,F. Cruz Saldivar,MERSİN SPOR,MSK,F. Cruz Saldivar,9,,,64.430000305176,50.849998474121,0.0,P3,missed,MERSİN SPOR F. CRUZ SALDIVAR 3Pt missed,,,,,,,,,0,111,2.0,def_reb,0,44,0,45
08:16,08:16:00,44,45,-1,2,3,REGULAR,79,T. BIBEROVIÇ,1,rebound,385,384,[],defensive,0,13,Tarik,Biberoviç,Tarik,Biberoviç,T,B,T,B,T. Biberoviç,FENERBAHÇE BEKO,FBB,T. Biberoviç,13,,,,,,REB,,FENERBAHÇE BEKO rebound defensive,,,,,,,,,0,112,1.0,def_reb,0,44,0,45
08:08,08:08:00,44,48,-4,2,3,REGULAR,95,D. HALL,1,3pt,386,,[],jumpshot,1,20,Devon Howard,Hall,Devon Howard,Hall,D,H,D,H,D. Hall,FENERBAHÇE BEKO,FBB,D. Hall,20,,,20.75,94.919998168945,1.0,P3,made,FENERBAHÇE BEKO D. HALL 3Pt made,99.0,2.0,A. BACOT JR,,,,,,3,113,2.0,score,0,44,3,48
08:08,08:08:00,44,48,-4,2,3,REGULAR,99,A. BACOT JR,1,assist,387,386,[],,0,00,Armando Linwood,Bacot Jr,Armando Linwood,Bacot Jr,A,B,A,B,A. Bacot Jr,FENERBAHÇE BEKO,FBB,A. Bacot Jr,00,,,,,,ASS,,FENERBAHÇE BEKO A. BACOT JR assist,,,,,,,,,0,114,1.0,,0,44,0,48
07:47,07:47:00,44,48,-4,1,3,REGULAR,5,J. COBBS,1,turnover,389,,[],ballhandling,0,1,Justin,Cobbs,Justin,Cobbs,J,C,J,C,J. Cobbs,MERSİN SPOR,MSK,J. Cobbs,1,,,,,,TO,,MERSİN SPOR J. COBBS turnover ballhandling,,,,,,,,,0,114,1.0,turnover,0,44,0,48
